146.8320	138.5910	130.8130	110.0000	103.8260	97.9990		82.4070		77.7817		73.4162
155.5630	146.8320	138.5910	116.5410	110.0000	103.8260	87.3070		82.4070		77.7817
164.8140	155.5630	146.8320	123.4710	116.5410	110.0000	92.4990		87.3070		82.4070
174.6140	164.8140	155.5630	130.8130	123.4710	116.5410	97.9990		92.4990		87.3070
184.9970	174.6140	164.8140	138.5910	130.8130	123.4710	103.8260	97.9990		92.4990
195.9980	184.9970	174.6140	146.8320	138.5910	130.8130	110.0000	103.8260	97.9990
207.6520	195.9980	184.9970	155.5630	146.8320	138.5910	116.5410	110.0000	103.8260
220.0000	207.6520	195.9980	164.8140	155.5630	146.8320	123.4710	116.5410	110.0000
233.0820	220.0000	207.6520	174.6140	164.8140	155.5630	130.8130	123.4710	116.5410
246.9420	233.0820	220.0000	184.9970	174.6140	164.8140	138.5910	130.8130	123.4710
261.6260	246.9420	233.0820	195.9980	184.9970	174.6140	146.8320	138.5910	130.8130
277.1830	261.6260	246.9420	207.6520	195.9980	184.9970	155.5630	146.8320	138.5910
293.6650	277.1830	261.6260	220.0000	207.6520	195.9980	164.8140	155.5630	146.8320
311.1270	293.6650	277.1830	233.0820	220.0000	207.6520	174.6140	164.8140	155.5630
329.6280	311.1270	293.6650	246.9420	233.0820	220.0000	184.9970	174.6140	164.8140
349.2280	329.6280	311.1270	261.6260	246.9420	233.0820	195.9980	184.9970	174.6140
369.9940	349.2280	329.6280	277.1830	261.6260	246.9420	207.6520	195.9980	184.9970
391.9950	369.9940	349.2280	293.6650	277.1830	261.6260	220.0000	207.6520	195.9980
415.3050	391.9950	369.9940	311.1270	293.6650	277.1830	233.0820	220.0000	207.6520
440.0000	415.3050	391.9950	329.6280	311.1270	293.6650	246.9420	233.0820	220.0000
466.1640	440.0000	415.3050	349.2280	329.6280	311.1270	261.6260	246.9420	233.0820
493.8830	466.1640	440.0000	369.9940	349.2280	329.6280	277.1830	261.6260	246.9420
523.2510	493.8830	466.1640	391.9950	369.9940	349.2280	293.6650	277.1830	261.6260
554.3650	523.2510	493.8830	415.3050	391.9950	369.9940	311.1270	293.6650	277.1830
587.3300	554.3650	523.2510	440.0000	415.3050	391.9950	329.6280	311.1270	293.6650
622.2540	587.3300	554.3650	466.1640	440.0000	415.3050	349.2280	329.6280	311.1270
659.2550	622.2540	587.3300	493.8830	466.1640	440.0000	369.9940	349.2280	329.6280
698.4560	659.2550	622.2540	523.2510	493.8830	466.1640	391.9950	369.9940	349.2280
739.9890	698.4560	659.2550	554.3650	523.2510	493.8830	415.3050	391.9950	369.9940
783.9910	739.9890	698.4560	587.3300	554.3650	523.2510	440.0000	415.3050	391.9950
830.6090	783.9910	739.9890	622.2540	587.3300	554.3650	466.1640	440.0000	415.3050
