0.0150	0.0150	0.0150	0.0170	0.0170	0.0170	0.0140	0.0140	0.0140	0.0130	0.0130	0.0130	0.0155	0.0155	0.0155	0.0195	0.0195	0.0195
0.0270	0.0270	0.0270	0.0275	0.0275	0.0275	0.0235	0.0235	0.0235	0.0240	0.0240	0.0240	0.0255	0.0255	0.0255	0.0285	0.0285	0.0285
0.0345	0.0345	0.0345	0.0350	0.0350	0.0350	0.0305	0.0305	0.0305	0.0315	0.0315	0.0315	0.0325	0.0325	0.0325	0.0355	0.0355	0.0355
0.0420	0.0420	0.0420	0.0415	0.0415	0.0415	0.0370	0.0370	0.0370	0.0380	0.0380	0.0380	0.0395	0.0395	0.0395	0.0415	0.0415	0.0415
0.0505	0.0505	0.0505	0.0485	0.0485	0.0485	0.0445	0.0445	0.0445	0.0450	0.0450	0.0450	0.0460	0.0460	0.0460	0.0490	0.0490	0.0490
0.0560	0.0560	0.0560	0.0545	0.0545	0.0545	0.0495	0.0495	0.0495	0.0500	0.0500	0.0500	0.0510	0.0510	0.0510	0.0545	0.0545	0.0545
0.0630	0.0630	0.0630	0.0615	0.0615	0.0615	0.0560	0.0560	0.0560	0.0570	0.0570	0.0570	0.0580	0.0580	0.0580	0.0610	0.0610	0.0610
0.0690	0.0690	0.0690	0.0655	0.0655	0.0655	0.0605	0.0605	0.0605	0.0615	0.0615	0.0615	0.0635	0.0635	0.0635	0.0655	0.0655	0.0655
0.0740	0.0740	0.0740	0.0700	0.0700	0.0700	0.0650	0.0650	0.0650	0.0655	0.0655	0.0655	0.0675	0.0675	0.0675	0.0700	0.0700	0.0700
0.0780	0.0780	0.0780	0.0735	0.0735	0.0735	0.0685	0.0685	0.0685	0.0695	0.0695	0.0695	0.0715	0.0715	0.0715	0.0735	0.0735	0.0735
0.0825	0.0825	0.0825	0.0785	0.0785	0.0785	0.0730	0.0730	0.0730	0.0730	0.0730	0.0730	0.0755	0.0755	0.0755	0.0780	0.0780	0.0780
0.0860	0.0860	0.0860	0.0805	0.0805	0.0805	0.0760	0.0760	0.0760	0.0760	0.0760	0.0760	0.0775	0.0775	0.0775	0.0805	0.0805	0.0805
0.0905	0.0905	0.0905	0.0810	0.0810	0.0810	0.0765	0.0765	0.0765	0.0800	0.0800	0.0800	0.0825	0.0825	0.0825	0.0840	0.0840	0.0840
0.0935	0.0935	0.0935	0.0860	0.0860	0.0860	0.0815	0.0815	0.0815	0.0825	0.0825	0.0825	0.0840	0.0840	0.0840	0.0865	0.0865	0.0865
0.0965	0.0965	0.0965	0.0885	0.0885	0.0885	0.0825	0.0825	0.0825	0.0850	0.0850	0.0850	0.0865	0.0865	0.0865	0.0885	0.0885	0.0885
0.1000	0.1000	0.1000	0.0910	0.0910	0.0910	0.0860	0.0860	0.0860	0.0870	0.0870	0.0870	0.0890	0.0890	0.0890	0.0920	0.0920	0.0920
0.1015	0.1015	0.1015	0.0930	0.0930	0.0930	0.0875	0.0875	0.0875	0.0885	0.0885	0.0885	0.0910	0.0910	0.0910	0.0925	0.0925	0.0925
0.1025	0.1025	0.1025	0.0940	0.0940	0.0940	0.0890	0.0890	0.0890	0.0910	0.0910	0.0910	0.0930	0.0930	0.0930	0.0940	0.0940	0.0940
0.1060	0.1060	0.1060	0.0955	0.0955	0.0955	0.0905	0.0905	0.0905	0.0930	0.0930	0.0930	0.0955	0.0955	0.0955	0.0960	0.0960	0.0960
0.1090	0.1090	0.1090	0.0965	0.0965	0.0965	0.0935	0.0935	0.0935	0.0945	0.0945	0.0945	0.0965	0.0965	0.0965	0.0985	0.0985	0.0985
