329.6280	246.9420	195.9980	146.8320	110.0000	82.4070
349.2280	261.6260	207.6520	155.5630	116.5410	87.3070
369.9940	277.1830	220.0000	164.8140	123.4710	92.4990
391.9950	293.6650	233.0820	174.6140	130.8130	97.9990
415.3050	311.1270	246.9420	184.9970	138.5910	103.8260
440.0000	329.6280	261.6260	195.9980	146.8320	110.0000
466.1640	349.2280	277.1830	207.6520	155.5630	116.5410
493.8830	369.9940	293.6650	220.0000	164.8140	123.4710
523.2510	391.9950	311.1270	233.0820	174.6140	130.8130
554.3650	415.3050	329.6280	246.9420	184.9970	138.5910
587.3300	440.0000	349.2280	261.6260	195.9980	146.8320
622.2540	466.1640	369.9940	277.1830	207.6520	155.5630
659.2550	493.8830	391.9950	293.6650	220.0000	164.8140
698.4560	523.2510	415.3050	311.1270	233.0820	174.6140
739.9890	554.3650	440.0000	329.6280	246.9420	184.9970
783.9910	587.3300	466.1640	349.2280	261.6260	195.9980
830.6090	622.2540	493.8830	369.9940	277.1830	207.6520
880.0000	659.2550	523.2510	391.9950	293.6650	220.0000
932.3280	698.4560	554.3650	415.3050	311.1270	233.0820
987.7670	739.9890	587.3300	440.0000	329.6280	246.9420
1046.5020	783.9910	622.2540	466.1640	349.2280	261.6260
1108.7310	830.6090	659.2550	493.8830	369.9940	277.1830
1174.6590	880.0000	698.4560	523.2510	391.9950	293.6650
1244.5080	932.3280	739.9890	554.3650	415.3050	311.1270
1318.5100	987.7670	783.9910	587.3300	440.0000	329.6280
1396.9100	1046.5020	830.6090	622.2540	466.1640	349.2280
1479.9800	1108.7310	880.0000	659.2550	493.8830	369.9940
1567.9800	1174.6590	932.3280	698.4560	523.2510	391.9950
1661.2200	1244.5080	987.7670	739.9890	554.3650	415.3050
1760.0000	1318.5100	1046.5000	783.9910	587.3300	440.0000
1864.6600	1396.9100	1108.7300	830.6090	622.2540	466.1640
