0.0075	0.0110	0.0075	0.0090	0.0100	0.0120
0.0060	0.0105	0.0070	0.0085	0.0095	0.0110
0.0055	0.0095	0.0065	0.0085	0.0090	0.0105
0.0050	0.0090	0.0065	0.0080	0.0085	0.0095
0.0045	0.0085	0.0065	0.0075	0.0080	0.0090
0.0040	0.0080	0.0060	0.0070	0.0075	0.0085
0.0035	0.0075	0.0055	0.0065	0.0065	0.0085
0.0035	0.0070	0.0050	0.0060	0.0060	0.0080
0.0030	0.0060	0.0045	0.0055	0.0055	0.0065
0.0030	0.0060	0.0040	0.0055	0.0050	0.0065
0.0025	0.0055	0.0035	0.0050	0.0045	0.0060
0.0025	0.0050	0.0030	0.0045	0.0045	0.0050
0.0020	0.0040	0.0030	0.0040	0.0035	0.0045
0.0020	0.0040	0.0025	0.0040	0.0035	0.0045
0.0015	0.0030	0.0020	0.0035	0.0025	0.0035
0.0015	0.0025	0.0020	0.0030	0.0025	0.0030
0.0010	0.0020	0.0020	0.0025	0.0020	0.0025
0.0010	0.0020	0.0015	0.0020	0.0020	0.0015
0.0010	0.0015	0.0015	0.0020	0.0015	0.0015
0.0005	0.0015	0.0015	0.0015	0.0010	0.0015


