0.0160	0.0160	0.0160	0.0160	0.0160	0.0160	0.0175	0.0175	0.0175
0.0275	0.0275	0.0275	0.0280	0.0280	0.0280	0.0275	0.0275	0.0275
0.0350	0.0350	0.0350	0.0355	0.0355	0.0355	0.0350	0.0350	0.0350
0.0425	0.0425	0.0425	0.0430	0.0430	0.0430	0.0425	0.0425	0.0425
0.0515	0.0515	0.0515	0.0520	0.0520	0.0520	0.0505	0.0505	0.0505
0.0575	0.0575	0.0575	0.0580	0.0580	0.0580	0.0570	0.0570	0.0570
0.0655	0.0655	0.0655	0.0650	0.0650	0.0650	0.0645	0.0645	0.0645
0.0705	0.0705	0.0705	0.0705	0.0705	0.0705	0.0705	0.0705	0.0705
0.0760	0.0760	0.0760	0.0755	0.0755	0.0755	0.0750	0.0750	0.0750
0.0800	0.0800	0.0800	0.0805	0.0805	0.0805	0.0790	0.0790	0.0790
0.0845	0.0845	0.0845	0.0850	0.0850	0.0850	0.0845	0.0845	0.0845
0.0890	0.0890	0.0890	0.0895	0.0895	0.0895	0.0885	0.0885	0.0885
0.0930	0.0930	0.0930	0.0935	0.0935	0.0935	0.0925	0.0925	0.0925
0.0960	0.0960	0.0960	0.0965	0.0965	0.0965	0.0960	0.0960	0.0960
0.0995	0.0995	0.0995	0.0990	0.0990	0.0990	0.0985	0.0985	0.0985
0.1025	0.1025	0.1025	0.1030	0.1030	0.1030	0.1020	0.1020	0.1020
0.1050	0.1050	0.1050	0.1055	0.1055	0.1055	0.1045	0.1045	0.1045
0.1080	0.1080	0.1080	0.1080	0.1080	0.1080	0.1075	0.1075	0.1075
0.1110	0.1110	0.1110	0.1120	0.1120	0.1120	0.1105	0.1105	0.1105
0.1135	0.1135	0.1135	0.1135	0.1135	0.1135	0.1130	0.1130	0.1130
