0.016	0.016	0.0175	0.016	0.016	0.0175
0.0275	0.028	0.0275	0.0275	0.028	0.0275
0.035	0.0355	0.035	0.035	0.0355	0.035
0.0425	0.043	0.0425	0.0425	0.043	0.0425
0.0515	0.052	0.0505	0.0515	0.052	0.0505
0.0575	0.058	0.057	0.0575	0.058	0.057
0.0655	0.065	0.0645	0.0655	0.065	0.0645
0.0705	0.0705	0.0705	0.0705	0.0705	0.0705
0.076	0.0755	0.075	0.076	0.0755	0.075
0.08	0.0805	0.079	0.08	0.0805	0.079
0.0845	0.085	0.0845	0.0845	0.085	0.0845
0.089	0.0895	0.0885	0.089	0.0895	0.0885
0.093	0.0935	0.0925	0.093	0.0935	0.0925
0.096	0.0965	0.096	0.096	0.0965	0.096
0.0995	0.099	0.0985	0.0995	0.099	0.0985
0.1025	0.103	0.102	0.1025	0.103	0.102
0.105	0.1055	0.1045	0.105	0.1055	0.1045
0.108	0.108	0.1075	0.108	0.108	0.1075
0.111	0.112	0.1105	0.111	0.112	0.1105
0.1135	0.1135	0.113	0.1135	0.1135	0.113
