3515.9496 0.00003545 0.0125
3515.9496 0.00003545 0.0125
3515.9496 0.00003545 0.0125
5634.9212 0.00005820 0.0165
5634.9212 0.00005820 0.0165
5634.9212 0.00005820 0.0165
3887.4826 0.00012176 0.0255
3887.4826 0.00012176 0.0255
3887.4826 0.00012176 0.0255
4492.5234 0.00022230 0.0345
4492.5234 0.00022230 0.0345
4492.5234 0.00022230 0.0345
5356.9779 0.00036470 0.0445
5356.9779 0.00036470 0.0445
5356.9779 0.00036470 0.0445
6536.6768 0.00056240 0.0555
6536.6768 0.00056240 0.0555
6536.6768 0.00056240 0.0555
