0.0160	0.0160	0.0150	0.0145	0.0170	0.0195
0.0275	0.0265	0.0245	0.0245	0.0280	0.0350
0.0360	0.0340	0.0315	0.0310	0.0355	0.0360
0.0425	0.0410	0.0380	0.0380	0.0410	0.0435
0.0510	0.0485	0.0450	0.0450	0.0485	0.0505
0.0560	0.0530	0.0505	0.0500	0.0540	0.0555
0.0630	0.0600	0.0570	0.0560	0.0600	0.0620
0.0685	0.0655	0.0615	0.0615	0.0645	0.0665
0.0740	0.0700	0.0660	0.0660	0.0690	0.0705
0.0765	0.0730	0.0695	0.0685	0.0725	0.0745
0.0815	0.0775	0.0735	0.0720	0.0765	0.0780
0.0850	0.0805	0.0770	0.0760	0.0800	0.0815
0.0890	0.0830	0.0805	0.0790	0.0830	0.0840
0.0915	0.0865	0.0835	0.0815	0.0855	0.0875
0.0950	0.0900	0.0860	0.0845	0.0875	0.0905
0.0980	0.0920	0.0885	0.0865	0.0905	0.0940
0.0985	0.0935	0.0900	0.0875	0.0925	0.0945
0.0975	0.0975	0.0925	0.0905	0.0950	0.0980
0.1050	0.0990	0.0945	0.0925	0.0970	0.1000
0.1075	0.1000	0.0970	0.0945	0.0980	0.1010

