146.8320	110.0000	82.4070
155.5630	116.5410	87.3070
164.8140	123.4710	92.4990
174.6140	130.8130	97.9990
184.9970	138.5910	103.8260
195.9980	146.8320	110.0000
207.6520	155.5630	116.5410
220.0000	164.8140	123.4710
233.0820	174.6140	130.8130
246.9420	184.9970	138.5910
261.6260	195.9980	146.8320
277.1830	207.6520	155.5630
293.6650	220.0000	164.8140
311.1270	233.0820	174.6140
329.6280	246.9420	184.9970
349.2280	261.6260	195.9980
369.9940	277.1830	207.6520
391.9950	293.6650	220.0000
415.3050	311.1270	233.0820
440.0000	329.6280	246.9420
466.1640	349.2280	261.6260
493.8830	369.9940	277.1830
523.2510	391.9950	293.6650
554.3650	415.3050	311.1270
587.3300	440.0000	329.6280
622.2540	466.1640	349.2280
659.2550	493.8830	369.9940
698.4560	523.2510	391.9950
739.9890	554.3650	415.3050
783.9910	587.3300	440.0000
830.6090	622.2540	466.1640
